,Page,Clicks,Impressions,CTR,Position,Avg. Time on Page,Bounce Rate,Exit,Pageviews,Unique Pageviews
503,https://miratrix.co.uk/making-a-difference/,0,11,0%,30.73,0 days 00:00:00.000000000,0.0,100.0,1,1
506,https://miratrix.co.uk/tag/mobile-banking/,0,11,0%,34.27,0 days 00:00:00.000000000,100.0,100.0,1,1
518,https://miratrix.co.uk/tag/flightradar24/,0,11,0%,73.36,0 days 00:00:00.000000000,100.0,100.0,1,1
519,https://miratrix.co.uk/star-power/jared-leto-as-the-joker/,0,10,0%,5.5,0 days 00:00:04.666666666,66.66666666666667,91.66666666666667,7,6
560,https://miratrix.co.uk/blog/page/43/,0,9,0%,68.78,0 days 00:00:00.000000000,100.0,100.0,1,1
563,https://miratrix.co.uk/star-power/alexa-chung/,0,8,0%,4.75,0 days 00:00:00.000000000,66.66499999999999,100.0,7,7
578,https://miratrix.co.uk/category/the-weekly-noise/page/13/,0,8,0%,39.38,0 days 00:03:41.500000000,50.0,50.0,2,2
609,https://miratrix.co.uk/tag/advertising/,0,7,0%,41.29,0 days 00:00:00.000000000,100.0,100.0,1,1
614,https://miratrix.co.uk/tag/twemojis/,0,7,0%,53.14,0 days 00:00:00.000000000,100.0,100.0,1,1
616,https://miratrix.co.uk/tag/slave-trade-prevention-app/,0,7,0%,56.86,0 days 00:00:00.000000000,100.0,100.0,1,1
621,https://miratrix.co.uk/weekly-round-up-8/,0,7,0%,62.57,0 days 00:00:00.000000000,100.0,100.0,3,3
625,https://miratrix.co.uk/app-marketing-tool/,0,7,0%,80.43,0 days 00:00:39.000000000,0.0,50.0,2,2
639,https://miratrix.co.uk/tag/steam-app-blocked/,0,6,0%,27.67,0 days 00:00:00.000000000,100.0,100.0,1,1
646,https://miratrix.co.uk/category/mtx-noisy-video/page/5/,0,6,0%,40.17,0 days 00:00:00.000000000,0.0,100.0,1,1
648,https://miratrix.co.uk/tag/malware-blackmail/,0,6,0%,42.67,0 days 00:00:04.000000000,0.0,0.0,1,1
675,https://miratrix.co.uk/category/mtx-noisy-video/page/3/,0,5,0%,18.4,0 days 00:00:00.000000000,100.0,100.0,1,1
703,https://miratrix.co.uk/tag/public-health-england-app/,0,5,0%,55.0,0 days 00:00:00.000000000,100.0,100.0,1,1
